Date,ret_1d_SPY,ret_1d_QQQ,ret_1d_IWM,ret_1d_TLT,ret_1d_GLD,ret_5d_SPY,ret_5d_QQQ,ret_5d_IWM,ret_5d_TLT,ret_5d_GLD,ret_20d_SPY,ret_20d_QQQ,ret_20d_IWM,ret_20d_TLT,ret_20d_GLD,vol_20d_SPY,vol_20d_QQQ,vol_20d_IWM,vol_20d_TLT,vol_20d_GLD,vol_60d_SPY,vol_60d_QQQ,vol_60d_IWM,vol_60d_TLT,vol_60d_GLD,ma_dev_50d_SPY,ma_dev_50d_QQQ,ma_dev_50d_IWM,ma_dev_50d_TLT,ma_dev_50d_GLD,ma_dev_200d_SPY,ma_dev_200d_QQQ,ma_dev_200d_IWM,ma_dev_200d_TLT,ma_dev_200d_GLD,rs_20d_QQQ_vs_SPY,rs_20d_IWM_vs_SPY,rs_20d_TLT_vs_SPY,rs_20d_GLD_vs_SPY,rs_60d_QQQ_vs_SPY,rs_60d_IWM_vs_SPY,rs_60d_TLT_vs_SPY,rs_60d_GLD_vs_SPY,vix_level,vix_change_1d,vix_change_5d,vix_zscore
2010-10-18,0.004927217461386357,-0.0036895259662464985,0.008393396059890534,0.00807733013175227,0.004488376244684789,0.013972666890907703,0.030741743718861736,0.0222094233863952,-0.030314187712611185,0.015042751486575634,0.035635487646804354,0.05058340655960891,0.06025176883214045,-0.007853778801972355,0.0753583392787458,0.12240753158944753,0.15344143852823613,0.19403571105946116,0.1491466974306042,0.11624490413398053,0.1557136297496827,0.17037937720510812,0.2373756333816804,0.17819652453576756,0.1053431546032178,0.05999248203401808,0.08748810894563386,0.09254014969411117,-0.025439773578174507,0.07708003017727627,0.06244512241073963,0.10916198232047858,0.0881186519642434,0.0645993788803838,0.15367216469106726,0.014947918912804559,0.024616281185336097,-0.04348926644877671,0.03972285163194145,0.03935826602903636,0.01652334966980762,-0.05388417435798987,0.07967427112105141,19.09000015258789,0.003152888269966736,0.0068565967506664105,-1.8263204424080743
2010-10-19,-0.013104089882842618,-0.009356718481260407,-0.01946935613414158,0.006035768466284841,-0.03105449960421236,-0.0023934233695136475,0.014168676587111628,-0.00028760096196867035,-0.014725736525794453,-0.014019445357615457,0.02412703844642583,0.04096695677789031,0.04569434900500191,-0.015535356292402103,0.032537087569354695,0.13285137112133777,0.15893303066594472,0.20782412483953613,0.14162066274809906,0.16743244981509892,0.1572751594521183,0.1713912976517177,0.23706798627163087,0.178503875007005,0.12494761575041223,0.04528882343176277,0.07555717836149589,0.07001394756721635,-0.02005363852203368,0.04150823827862116,0.04828746323744815,0.09822159367754413,0.06643863374382342,0.07020470105042276,0.11687101542552325,0.016839918331464476,0.02156731055857608,-0.03966239473882793,0.008410049122928864,0.04493349081388298,-0.003574823512609182,-0.020881386806095525,0.07435429691234408,20.6299991607666,0.08067045551961116,0.0898044811508012,-1.0846193404078184
2010-10-20,0.009766407324026005,0.007280408722169618,0.01021585634175759,0.002162402506329597,0.00929987478434402,-0.00042387359768769617,0.013261715423570353,-0.00524207964668244,-0.011062655044131287,-0.0205116718860896,0.0392347009909253,0.051345032268748536,0.06905221451777699,-0.022177609281113786,0.040570606178987445,0.13406798916439988,0.1589359760421566,0.20256036817567033,0.13742649753827163,0.1696117054177289,0.1583059663695686,0.1717293826082366,0.23763782889456997,0.17725498505267143,0.1190712281560732,0.054347866806671696,0.08126904893227782,0.07903395214290798,-0.018433385383991308,0.048912002984236924,0.05824788442619777,0.10560713248442943,0.07675693118892468,0.07171736326601863,0.12621272216109047,0.012110331277823239,0.02981751352685169,-0.06141231027203908,0.0013359051880621475,0.04302635549935929,0.0006041889948884549,-0.018966012369815655,0.0945891149489928,19.790000915527344,-0.04071731843967963,0.03775570174227849,-1.419205461828042
2010-10-21,0.002205725573009243,0.0019535942938682105,-0.00484257568487656,-0.011873033179340964,-0.014087770334554661,0.005703705333006903,0.017254964131699912,-0.009357593855879975,-0.007979603166174298,-0.03918366441036647,0.05004438033603953,0.05383220521000154,0.07691158461541692,-0.03655035069467982,0.025098955600549422,0.128682374217909,0.15857211045410372,0.19673366658728103,0.1416976904149934,0.17903202190201387,0.15754392116979654,0.1705357117287702,0.23524163133118714,0.1790517001071007,0.1238070038491942,0.054897219733512914,0.08064407165901977,0.07119251152352368,-0.030105411031475904,0.032135145339512006,0.060295422086325656,0.10711139515945112,0.07099279592339292,0.05820398027476403,0.10949243902242722,0.003787824873962009,0.026867204279377388,-0.08659473103071935,-0.024945424735490107,0.04482421067909126,0.0035696064206716116,-0.04394673795546189,0.06632442790394477,19.270000457763672,-0.026275918833115197,-0.03068404068179087,-1.5858163685358238
2010-10-22,0.001862426071003398,0.006824333285325945,0.006440325136839897,0.006752713231181984,0.002008144777821741,0.0055226208888465855,0.002913996759928539,0.000426440833362296,0.011069329024096186,-0.02954815353575202,0.03074364619783987,0.03987141309150588,0.04970885287046167,-0.016830015163889267,0.02399552630475954,0.10937618053434017,0.14529896072360465,0.16550879616468409,0.13781391021558875,0.1789300901575936,0.15703886148947777,0.16971844599078997,0.23532771055074764,0.17949704318716106,0.12371474139787242,0.054921565755265744,0.08495321901815256,0.07522145501121491,-0.023748561833154658,0.032403735066985906,0.06199516350593082,0.11396887495047148,0.07733883929884233,0.06452686342734149,0.11082042320156749,0.009127766893666012,0.018965206672621804,-0.047573661361729136,-0.006748119893080329,0.05355192279703225,0.006073375844090068,-0.04394602875045428,0.05627003415403764,18.780000686645508,-0.025428114140015445,-0.013137151391457436,-1.7223685984634416
2010-10-25,0.0029570989188789643,0.004840916568500386,0.005972585665606767,0.0028612259680291796,0.008633395612906769,0.003551335082369933,0.011500978870049305,-0.0019752436046244215,0.005837743331909229,-0.02554358584273453,0.038768064623118326,0.05061787093237102,0.058665022296736646,-0.03087176068411701,0.032591578622378936,0.10685927874911862,0.14288513588846702,0.16484225872618816,0.12098065825761843,0.1807741514506782,0.15704299113996156,0.16980936632912824,0.23550097114693688,0.17685264116817162,0.12323459270512409,0.0559765689195908,0.08688308699181313,0.07840381490577952,-0.02096704767153934,0.039313657635509536,0.06486111770615044,0.11867653455139182,0.08321306634531012,0.0667303637533343,0.11947693927035319,0.011849806309252697,0.01989695767361832,-0.06963982530723534,-0.00617648600073939,0.05316361031531014,0.00849486431373947,-0.060276960047910055,0.050787296061262976,19.850000381469727,0.05697548752408177,0.03981143126281261,-1.2185059159778358
2010-10-26,0.00016862163878883507,0.002697547124881128,-0.0007067023412904438,-0.015443295027891768,0.00022926081694740752,0.017048044543973795,0.02380904342531398,0.017122163598390916,-0.015637092286312826,0.00591810213549171,0.03531868850941344,0.05387873931935516,0.047569709925787906,-0.052318346046894115,0.023699698434527017,0.1068621610731756,0.1424694140863349,0.16317806297953136,0.12625585326774927,0.17877201459313988,0.15069981679817163,0.16625652623572132,0.2332164899922715,0.17736631786808213,0.12324716070271116,0.054084769705486924,0.08647667884730614,0.07459983240465862,-0.03533398850977987,0.0377138894983744,0.0647728761176456,0.12096855624192249,0.0818710528241895,0.04948872318468123,0.1188706384198801,0.01856005080994172,0.012251021416374464,-0.08763703455630756,-0.011618990074886426,0.058967685946928805,0.01282488404987725,-0.03801471866251238,0.07427595175460766,20.219999313354492,0.0186397443211217,-0.01987396335874958,-1.038665125520221
2010-10-27,-0.0028637136012042985,0.003075707246205983,-0.002546167619768558,-0.008790397551795559,-0.010391202319783521,0.0043268451693569965,0.019535346291209565,0.00427289248256435,-0.026395358696885696,-0.01370699780204665,0.034157479803244684,0.0588355266017353,0.041968644090870866,-0.05673405079257032,0.01227047566756756,0.10742132189654464,0.14156827868394717,0.1640939814410107,0.12804728843235652,0.18348281537929675,0.15043578618322365,0.16576940048041933,0.2325568740438482,0.1779919381013169,0.12581409419539302,0.04931955683805178,0.08667511097534164,0.06924777871433685,-0.04301427201014274,0.02534225533860779,0.06142275234318162,0.12360037020585235,0.07849958813511759,0.03963158448611148,0.10634430328091105,0.024678046798490616,0.007811164287626182,-0.090891530595815,-0.021887004135677124,0.06518044525510924,0.016680618736987007,-0.05483768632955144,0.056108422094819144,20.709999084472656,0.0242334217486615,0.04648803064094231,-0.8128797333398456
2010-10-28,0.0001687377162000736,0.00210710874149167,-0.006098572809390079,0.0027203984239334567,0.013279811333891667,0.0022855461269792876,0.019691554529205568,0.003005390643794348,-0.012016404150990478,0.013671153593670438,0.03741340985058628,0.06582399836960273,0.03822188036605767,-0.05354051671840787,0.026033943676925464,0.10618102526979958,0.13893203376660726,0.16591716786590963,0.12938228683853928,0.18878076172559993,0.14998082309919136,0.1649114833762351,0.23225121047526626,0.17731639288116097,0.1276639224539751,0.047788700780688975,0.08586447634133365,0.060338315815496424,-0.03960632570273037,0.03714899734122068,0.06134512649932611,0.12520660583281296,0.07141171410337188,0.04175684296072513,0.12009392747622116,0.028410588519016455,0.0008084705154713934,-0.09095392656899415,-0.011379466173660813,0.0631205963540562,0.005832920686632548,-0.03746256102440371,0.0707236919834695,20.8799991607666,0.008208598928495459,0.0835494896085629,-0.7287906622853968
2010-10-29,0.0007604227631314853,-0.0022940582572998913,0.0031392048329472733,0.009347806426107663,0.010515007362563056,0.001183077406202937,0.01045662988592988,-0.0002844630884850652,-0.009469691862471263,0.02227703295171657,0.03385428590324735,0.0646802568204865,0.03595639521237848,-0.040054057763724726,0.028779701727435603,0.10587514356791998,0.13943861093968699,0.1655024415211947,0.13593100146060147,0.19024277015954816,0.14992465642838662,0.1649061356450379,0.23073771057910758,0.17806324432632012,0.12885457720382665,0.04651381932676202,0.0800435459362232,0.0606617132811027,-0.02968611998541293,0.04603264855951794,0.06190565593525532,0.12188603557626831,0.07426489504392264,0.050801957385408825,0.13087808063220518,0.030825970917239154,0.0021021093091311283,-0.07390834366697208,-0.005074584175811747,0.061252743289105904,0.019886680846228133,-0.034651827916642564,0.07809868359237027,21.200000762939453,0.015325747846490989,0.1288604892338907,-0.5867921472404799
